name,link,price,shop,location,deal-cnt
日本京都血糖试纸 GT-1640/50家用血糖测试仪试纸条50片独立装,https://item.taobao.com/item.htm?id=540962918455&ns=1&abbucket=0#detail,150.00,明天的秋水,北京,1
百程日本京都本家熊京韵抹茶午餐米其林星级餐厅美食餐饮日式料理,https://detail.tmall.com/item.htm?id=542571977816&ns=1&abbucket=0,738.00,北京佰程旅游专卖店,北京,0
【火爆预定】京都岚山小火车票券 电子换票证 日本自由行,https://item.taobao.com/item.htm?id=531540967653&ns=1&abbucket=0#detail,91.00,黄油起司,北京,1
桃山鬘 吉祥纹 日本和服袋带 京都西阵织 千八百织,https://item.taobao.com/item.htm?id=542102816603&ns=1&abbucket=0#detail,4500.00,shawn_zx,北京,0
穷游自营日本京都Q-HOME祇园花见和服体验独家日游摄影套餐 08,https://detail.tmall.com/item.htm?id=540995309775&ns=1&abbucket=0,70.00,穷游自由行旗舰店,北京,1
京都梦馆和服体验 浴衣和服租赁 化妆发型制作 外拍摄影 中文服务,https://item.taobao.com/item.htm?id=543569661416&ns=1&abbucket=0#detail,106.00,liudayu26,北京,2
日本京都祇园螃蟹家会席料理晚餐 人气餐厅かに家代订 美食预约,https://detail.tmall.com/item.htm?id=44978785283&ns=1&abbucket=0,399.00,北京海玩旅游专营店,北京,0
海玩 日本京都さがの館和服一日游 日式浴衣体验 日本旅游必体验,https://detail.tmall.com/item.htm?id=45050155231&ns=1&abbucket=0,249.00,北京海玩旅游专营店,北京,0
日本进口 京都血糖仪 家用GT1640+50片血糖试纸+50针头正品包邮,https://item.taobao.com/item.htm?id=540956557933&ns=1&abbucket=0#detail,494.00,明天的秋水,北京,2
日本京都 和歌山 南纪温泉 中之岛酒店预订 料理 送游船票 自由行,https://detail.tmall.com/item.htm?id=520651444242&ns=1&abbucket=0,1899.00,北京九九有方旅游专营店,,1
和服袋带上的日本史 京都时代祭 西阵织最上工艺千八百织,https://item.taobao.com/item.htm?id=529156794496&ns=1&abbucket=0#detail,3900.00,shawn_zx,北京,0
